Grazing	Density	Time	ID	Consumption
grazed	low	13	R16	0,989182065
grazed	low	13	R17	2,34120956
grazed	low	13	R18	0,552752638
grazed	low	13	R19	0,510548523
grazed	low	13	R20	13,0584268
non-grazed	high	13	R21	-0,235903337
non-grazed	high	13	R22	2,08050503
non-grazed	high	13	R23	0,529073309
non-grazed	high	13	R24	20,7566872
non-grazed	high	13	R25	23,383064
non-grazed	high	13	R26	0,512018205
non-grazed	high	13	R27	11,2310312
non-grazed	high	13	R28	10,0244042
non-grazed	high	13	R29	12,7655974
non-grazed	high	13	R30	5,57285903
grazed	high	13	R31	6,8149335
grazed	high	13	R32	14,2801688
grazed	high	13	R33	0,153100193
grazed	high	13	R34	1,49526742
grazed	high	13	R35	9,3164557
grazed	high	13	R36	18,6003948
grazed	high	13	R37	1,03536357
grazed	high	13	R38	2,53164557
grazed	high	13	R39	0,398011354
grazed	high	13	R40	17,9240506
non-grazed	low	14	R1	
non-grazed	low	14	R2	8,51842466
non-grazed	low	14	R3	7,90326914
non-grazed	low	14	R4	12,4963777
non-grazed	low	14	R5	2,51286895
non-grazed	low	14	R6	6,93018926
non-grazed	low	14	R7	17,5665584
non-grazed	low	14	R8	7,69641501
non-grazed	low	14	R9	0,209882072
non-grazed	low	14	R10	3,845371
grazed	low	14	R11	
grazed	low	14	R12	13,7119342
grazed	low	14	R13	-0,103896104
grazed	low	14	R14	7,2742186
grazed	low	14	R15	9,53034238
grazed	low	14	R16	7,05152912
grazed	low	14	R17	9,00194059
grazed	low	14	R18	2,81035923
grazed	low	14	R19	0,818372244
grazed	low	14	R20	6,13614152
non-grazed	high	14	R21	-0,143788701
non-grazed	high	14	R22	15,2613838
non-grazed	high	14	R23	7,28020008
non-grazed	high	14	R24	15,3521772
non-grazed	high	14	R25	
non-grazed	high	14	R26	11,6455309
non-grazed	high	14	R27	26,3524476
non-grazed	high	14	R28	10,1939955
non-grazed	high	14	R29	6,54545455
non-grazed	high	14	R30	4,96989715
grazed	high	14	R31	2,96765053
grazed	high	14	R32	8,54936524
grazed	high	14	R33	4,03550578
grazed	high	14	R34	5,81873153
grazed	high	14	R35	
grazed	high	14	R36	7,77991901
grazed	high	14	R37	7,68831169
grazed	high	14	R38	18,5324082
grazed	high	14	R39	3,73883651
grazed	high	14	R40	4,72577628
non-grazed	low	15	R1	11,9709345
non-grazed	low	15	R2	10,3880179
non-grazed	low	15	R3	11,3053892
non-grazed	low	15	R4	3,36743962
non-grazed	low	15	R5	4,5988024
non-grazed	low	15	R6	14,9461078
non-grazed	low	15	R7	7,33605253
non-grazed	low	15	R8	5,26946108
non-grazed	low	15	R9	7,76541944
non-grazed	low	15	R10	8,12120338
grazed	low	15	R11	5,84431138
grazed	low	15	R12	1,62874251
grazed	low	15	R13	-0,381803557
grazed	low	15	R14	10,1822632
grazed	low	15	R15	2,60658951
grazed	low	15	R16	1,52380952
grazed	low	15	R17	7,52050011
grazed	low	15	R18	5,74850299
grazed	low	15	R19	13,2215569
grazed	low	15	R20	12,6212599
non-grazed	high	15	R21	1,29566371
non-grazed	high	15	R22	0,829811451
non-grazed	high	15	R23	-0,731538959
non-grazed	high	15	R24	12,3592814
non-grazed	high	15	R25	13,988024
non-grazed	high	15	R26	1,6320671
non-grazed	high	15	R27	15,3293413
non-grazed	high	15	R28	3,54491018
non-grazed	high	15	R29	0,026352412
non-grazed	high	15	R30	6,72137032
grazed	high	15	R31	2,03384794
grazed	high	15	R32	3,18981617
grazed	high	15	R33	10,6283433
grazed	high	15	R34	4,31137725
grazed	high	15	R35	6,05410145
grazed	high	15	R36	3,73652695
grazed	high	15	R37	5,79573458
grazed	high	15	R38	10,1363692
grazed	high	15	R39	-0,042581504
grazed	high	15	R40	3,52016095
